name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Agua Cristal Classic 510ml,{},outros,ai_estimated,7898950286178,agua cristal classic 510ml,,,,,,,,,,
Hakka,{},outros,ai_estimated,4903316419046,hakka,,,,,,,,,Ribon,
Water,{},outros,ai_estimated,7898014855074,water,,,,,,,,,Sferriê,Water
Filtro de papel Melitta,{},outros,ai_estimated,7891021001946,filtro de papel melitta,,,,,,,,,Melitta,filtro de papel Melitta
Folha de aluminio,{},outros,ai_estimated,7896300500868,folha de aluminio,,,,,,,,,,folha de aluminio
7896256065602,{},outros,ai_estimated,7896256065602,7896256065602,,,,,,,,,NaturalLife,Biscoito de Arroz
Zomo Natural Perfect,{},outros,ai_estimated,78418486,zomo natural perfect,,,,,,,,,Zomo,Zomo Natural Perfect
7896224800679,{},outros,ai_estimated,7896224800679,7896224800679,,,,,,,,,Santa Clara,Cappuccino
Garrafa descartável,{},outros,ai_estimated,7891025106616,garrafa descartável,,,,,,,,,danone,
7898636746752,{},outros,ai_estimated,7898636641550,7898636746752,,,,,,,,,Aroma bem estar,7898636746752
Kit costura clink caixinha,{},outros,ai_estimated,7899850305129,kit costura clink caixinha,,,,,,,,,clink,
Filtro de Papel de Café 102,{},outros,ai_estimated,7891021002103,filtro de papel de café 102,,,,,,,,,Brigitta,
Agua Naturale,{},outros,ai_estimated,7896333001028,agua naturale,,,,,,,,,,
Filme pvc,{},outros,ai_estimated,7891207020020,filme pvc,,,,,,,,,Kiko pack,
Fazenda,{},outros,ai_estimated,7896229800377,fazenda,,,,,,,,,bela vista,Fazenda
Detergente,{},outros,ai_estimated,7891022638004,detergente,,,,,,,,,limpol,
Filtro de papel,{},outros,ai_estimated,7891021001885,filtro de papel,,,,,,,,,melitta,
899527412396,{},outros,ai_estimated,7899527412396,899527412396,,,,,,,,,Speciat,899527412396
Jgztb,{},outros,ai_estimated,7897664231832,jgztb,,,,,,,,,,
Progresso Social e Democracia,{},outros,ai_estimated,9788536604992,progresso social e democracia,,,,,,,,,SCORTECCI,
Caixa de Fósforos,{},outros,ai_estimated,7896279200011,caixa de fósforos,,,,,,,,,Gaboardi,
Hidroclorotiazida,{},outros,ai_estimated,7896004716176,hidroclorotiazida,,,,,,,,,,Hidroclorotiazida
Veja,{},outros,ai_estimated,7891035285165,veja,,,,,,,,,,
Downy Amaciante,{},outros,ai_estimated,7506339332643,downy amaciante,,,,,,,,,,
Veja multiuso Campestre,{},outros,ai_estimated,7891035285158,veja multiuso campestre,,,,,,,,,,
Detergente Limpol Cristal,{},outros,ai_estimated,7891022100372,detergente limpol cristal,,,,,,,,,,
Palha de aço Brillo,{},outros,ai_estimated,7891022850031,palha de aço brillo,,,,,,,,,,
Desinfetante Urca,{},outros,ai_estimated,7896056401044,desinfetante urca,,,,,,,,,,
Sabão Pó Brilhante,{},outros,ai_estimated,7891150069138,sabão pó brilhante,,,,,,,,,,
Zero Cal Stevia,{},outros,ai_estimated,7896094915176,zero cal stevia,,,,,,,,,cosmed,
PARA COLORIR,{},outros,ai_estimated,9788576774020,para colorir,,,,,,,,,PARA COLORIR,
Succinato de Desvenlafaxina Monoidratado,{},outros,ai_estimated,7896004751009,succinato de desvenlafaxina monoidratado,,,,,,,,,,Succinato de Desvenlafaxina Monoidratado
Prednisolona,{},outros,ai_estimated,7896181921011,prednisolona,,,,,,,,,,Prednisolona
Penetro 45ml,{},outros,ai_estimated,7896026120555,penetro 45ml,,,,,,,,,,Penetro 45ml
Dramin,{},outros,ai_estimated,7896094922068,dramin,,,,,,,,,,Dramin
Cefalexina,{},outros,ai_estimated,7896004704692,cefalexina,,,,,,,,,,Cefalexina
